"Canada - Admissions of Permanent Residents by Country of Citizenship (Q1-Q2 2016 ranking), 1980 - Q2 2016*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Citizenship,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Q1-Q2 2016
"Somalia, Democratic Republic of", 7 , 10 , 7 , 12 , 14 , 10 , 37 , 190 , 217 , 401 ," 1,059 "," 3,266 "," 5,794 "," 3,734 "," 1,576 "," 2,000 "," 1,541 "," 1,084 "," 1,397 "," 1,652 ","1,562","1,155",723,955,"1,362","1,198","1,061","1,161","1,014","1,214","1,526","1,532","1,574","2,030","1,491","1,157",669
"Ivory Coast, Republic of", 14 , 8 , 10 , 6 , 21 , 23 , 23 , 20 , 17 , 37 , 42 , 62 , 62 , 67 , 68 , 101 , 102 , 67 , 57 , 110 ,118,143,183,119,256,294,431,619,647,668,"1,067",636,"1,023","1,170","1,521","1,361",636
Tunisia, 58 , 51 , 55 , 46 , 51 , 57 , 64 , 86 , 130 , 242 , 326 , 306 , 315 , 245 , 197 , 271 , 256 , 242 , 237 , 323 ,436,788,662,669,763,756,"1,065",869,950,"1,195","1,299","1,443","1,495","1,624","1,472","1,283",630
Poland, 863 ," 2,930 "," 5,881 "," 4,546 "," 3,588 "," 2,819 "," 4,808 "," 6,931 "," 9,211 "," 16,025 "," 17,040 "," 16,028 "," 12,145 "," 6,960 "," 3,550 "," 2,405 "," 2,136 "," 1,758 "," 1,488 "," 1,354 ","1,469","1,602","1,448","1,394","1,533","1,405","1,263","1,235","1,267","1,013",795,720,779,853,773,981,629
Venezuela, 103 , 117 , 174 , 124 , 142 , 165 , 179 , 229 , 279 , 304 , 344 , 487 , 610 , 490 , 334 , 402 , 520 , 686 , 489 , 464 ,443,560,524,699,"1,224","1,211","1,192","1,335","1,240","1,352",998,"1,451","1,366","1,022","1,483",929,595
Cuba, 306 , 41 , 94 , 104 , 101 , 115 , 102 , 139 , 90 , 122 , 135 , 158 , 220 , 374 , 360 , 421 , 508 , 566 , 531 , 696 ,814,947,872,876,868,999,"1,064","1,349","1,300","1,426",963,961,"1,301","1,402","1,079",827,593
Hong Kong, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 24 , 257 , 400 ,470,377,427,440,535,729,711,674,894,656,623,586,719,775,586,630,587
Moldova, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 20 , 70 , 225 , 273 , 230 , 294 , 216 , 199 ,288,513,613,592,628,655,803,"1,099","1,127","1,535","1,988","1,367","1,416","1,232",941,929,583
Japan, 701 , 756 , 598 , 309 , 246 , 198 , 248 , 423 , 324 , 494 , 379 , 506 , 605 , 907 , 956 , 826 , 994 , 924 , 897 ," 1,083 ","1,010","1,092",806,816,973,"1,067","1,212","1,250","1,284","1,193","1,167","1,265","1,210",983,"1,127",995,572
"South Africa, Republic of"," 1,026 "," 1,118 ", 781 , 379 , 271 , 310 , 718 ," 1,470 "," 1,305 "," 1,301 ", 902 , 823 ," 1,059 "," 1,549 "," 2,366 "," 1,455 "," 1,308 "," 1,729 "," 1,350 "," 1,478 ","1,762","1,899","1,500","1,245","1,175",988,"1,111","1,200","1,122","1,190","1,239",959,"1,244","1,238","1,001",961,557
Italy," 1,820 "," 2,057 "," 1,480 ", 820 , 858 , 667 , 731 ," 1,101 ", 885 ," 1,068 ", 895 , 711 , 623 , 663 , 558 , 508 , 476 , 491 , 399 , 410 ,383,410,374,321,334,344,325,316,370,429,434,374,438,545,652,832,548
Turkey, 481 , 874 , 706 , 280 , 338 , 202 , 257 , 397 , 346 , 488 , 767 , 941 ," 1,116 "," 1,316 ", 908 , 732 , 638 , 679 , 777 , 806 ,"1,101","1,184","1,293","1,336","1,736","2,064","1,632","1,463","1,122","1,238","1,492","1,255","1,068",729,717,874,520
Nepal, 1 , 1 , 6 , 1 , 2 , 4 , 13 , 6 , 13 , 4 , 23 , 29 , 32 , 40 , 31 , 66 , 132 , 155 , 104 , 157 ,236,272,363,312,403,607,540,511,581,561,"1,392","1,129","1,185","1,308","1,219","1,500",514
Jordan, 177 , 160 , 155 , 113 , 102 , 179 , 181 , 392 , 489 , 785 , 841 , 807 , 909 ," 1,141 "," 1,173 "," 1,006 "," 1,070 "," 1,317 ", 999 ," 1,218 ","1,510","1,903","1,505","1,604","1,736","1,939","1,826","1,421","1,579","1,235","1,831","1,635","1,206","1,255","1,158","1,112",511
Taiwan," 1,002 ", 977 , 840 , 817 , 675 , 642 , 815 ," 1,585 "," 2,392 "," 3,522 "," 3,860 "," 4,650 "," 7,662 "," 10,076 "," 7,623 "," 7,772 "," 13,333 "," 13,328 "," 7,255 "," 5,473 ","3,534","3,130","2,851","2,158","2,009","3,097","2,818","2,767","2,993","2,475","2,629","1,703",985,768,692,617,463
Portugal," 4,473 "," 3,486 "," 2,432 "," 1,433 "," 1,398 "," 1,451 "," 2,617 "," 7,684 "," 6,888 "," 8,570 "," 8,452 "," 6,286 "," 3,328 "," 2,347 "," 1,599 "," 1,405 "," 1,237 "," 1,167 ", 625 , 458 ,468,531,362,329,336,338,423,403,665,622,629,528,560,630,637,822,460
Stateless," 41,897 "," 15,780 "," 14,562 "," 11,898 "," 13,207 "," 12,604 "," 11,332 "," 13,668 "," 17,397 "," 19,837 "," 19,921 "," 16,017 "," 19,050 "," 16,781 "," 18,155 "," 13,499 "," 10,247 "," 8,132 "," 4,867 "," 2,998 ","2,338","2,040","1,435",922,920,837,839,653,622,541,698,557,484,461,801,857,458
El Salvador, 110 , 295 , 882 ," 2,587 "," 2,666 "," 2,769 "," 3,106 "," 3,558 "," 2,720 "," 2,955 "," 4,384 "," 7,124 "," 5,670 "," 2,977 "," 1,217 ", 722 , 736 , 603 , 477 , 424 ,567,453,473,446,441,435,429,926,"1,114",841,768,692,641,637,700,656,388
Spain, 211 , 299 , 260 , 133 , 137 , 98 , 121 , 176 , 137 , 168 , 122 , 165 , 130 , 160 , 84 , 78 , 105 , 88 , 87 , 81 ,93,79,87,89,133,126,124,136,168,195,174,179,259,330,494,709,379
Croatia, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 151 , 938 , 692 , 647 , 541 , 622 , 676 , 993 ,715,376,304,177,151,128,102,102,131,92,91,135,112,125,293,500,364
Dominican Republic, 40 , 53 , 104 , 88 , 97 , 84 , 307 , 446 , 358 , 409 , 363 , 517 , 557 , 646 , 432 , 276 , 306 , 285 , 210 , 254 ,240,262,202,233,270,297,289,309,430,362,455,736,604,589,445,602,337
Mauritius, 306 , 259 , 353 , 170 , 207 , 164 , 325 , 578 , 531 , 399 , 401 , 358 , 336 , 276 , 176 , 147 , 159 , 136 , 159 , 138 ,199,393,349,566,702,696,512,507,714,873,"1,455","1,146",798,"1,203",419,718,330
Hungary, 205 , 310 , 397 , 337 , 310 , 522 , 647 , 676 ," 1,139 ", 979 , 780 , 775 , 795 , 603 , 349 , 306 , 364 , 319 , 337 , 408 ,418,627,537,489,671,516,520,425,382,312,354,287,300,423,536,770,319
New Zealand, 602 , 480 , 364 , 140 , 164 , 148 , 176 , 208 , 200 , 237 , 270 , 227 , 341 , 352 , 234 , 210 , 219 , 181 , 146 , 164 ,212,360,321,345,350,370,318,349,480,520,489,375,417,415,396,331,316
"Netherlands, The"," 1,889 "," 1,858 "," 1,852 ", 716 , 560 , 510 , 539 , 647 , 832 , 825 , 637 , 614 , 609 , 637 , 532 , 596 , 994 , 712 , 653 , 873 ,837,806,676,617,748,813,836,615,819,786,759,585,502,395,422,532,315
Guyana," 2,334 "," 2,943 "," 3,575 "," 2,650 "," 1,932 "," 2,299 "," 3,942 "," 6,174 "," 2,977 "," 3,270 "," 2,824 "," 3,266 "," 2,932 "," 3,399 "," 4,181 "," 3,935 "," 2,324 "," 1,795 "," 1,238 "," 1,366 ","1,301","1,706","1,478","1,411","1,341","1,215","1,286","1,277","1,137","1,180",953,803,671,656,784,540,282
Senegal, 13 , 10 , 9 , 11 , 7 , 11 , 16 , 19 , 17 , 22 , 38 , 71 , 80 , 77 , 49 , 67 , 122 , 82 , 107 , 116 ,121,129,165,171,210,278,416,433,555,669,765,740,948,818,731,649,281
Thailand, 56 , 53 , 113 , 65 , 82 , 66 , 78 , 117 , 147 , 177 , 171 , 219 , 219 , 279 , 237 , 172 , 195 , 152 , 201 , 246 ,255,309,547,439,392,575,500,487,519,512,499,396,296,400,608,484,279
Albania, 1 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 2 , 3 , 3 , 21 , 56 , 96 , 71 , 63 , 113 , 307 , 574 ," 1,264 ","1,816","1,602","1,021",853,"1,449","1,223",856,702,560,715,560,539,619,603,519,574,278
"Serbia, Republic of", 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0,0,0,0,0,0,0,46,251,349,243,280,381,295,319,576,271
Peru, 317 , 456 , 401 , 241 , 306 , 328 , 628 , 843 ," 1,237 "," 1,667 "," 1,384 "," 1,522 "," 1,632 "," 1,274 ", 993 , 827 , 845 , 676 , 493 , 560 ,594,849,854,"1,023","1,457","1,653","1,473","1,490","1,094","1,884","1,282",886,787,683,712,559,266
Ghana, 172 , 196 , 98 , 122 , 116 , 172 , 215 , 970 , 408 , 429 , 449 ," 1,134 "," 2,502 "," 2,201 "," 1,341 "," 1,475 "," 1,219 "," 1,274 "," 1,040 ", 845 ,955,782,696,564,737,851,708,688,629,658,802,528,531,518,518,369,264
Kenya, 291 , 296 , 221 , 201 , 218 , 245 , 244 , 628 , 984 ," 1,140 ", 869 , 605 , 529 , 478 , 414 , 434 , 369 , 223 , 203 , 310 ,495,651,629,678,685,692,622,449,453,489,508,585,719,664,455,383,263
Burundi, 0 , 0 , 0 , 0 , 1 , 2 , 1 , 5 , 1 , 14 , 19 , 9 , 19 , 14 , 28 , 126 , 367 , 207 , 94 , 202 ,342,334,364,383,559,625,468,614,448,566,529,604,682,480,517,938,260
"Indonesia, Republic of", 186 , 178 , 252 , 115 , 123 , 100 , 127 , 213 , 270 , 260 , 227 , 252 , 243 , 278 , 262 , 205 , 231 , 166 , 165 , 525 ,"1,137",907,709,515,552,632,613,657,661,504,712,390,395,386,416,377,259
Belgium, 511 , 540 , 519 , 297 , 183 , 181 , 197 , 283 , 333 , 307 , 303 , 216 , 208 , 240 , 201 , 240 , 279 , 227 , 307 , 209 ,369,340,307,320,411,400,302,363,335,358,363,332,401,379,356,359,254
Greece," 1,065 ", 953 , 897 , 633 , 580 , 584 , 547 , 765 , 564 , 773 , 538 , 592 , 492 , 445 , 275 , 220 , 221 , 190 , 141 , 149 ,150,135,107,117,120,100,74,110,106,118,101,102,146,299,373,477,249
Palestinian Authority (Gaza/West Bank), 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 26 , 146 , 180 ,237,340,265,323,376,451,626,440,481,399,652,555,531,462,443,553,231
St. Vincent and the Grenadines, 147 , 190 , 202 , 154 , 158 , 182 , 209 , 216 , 133 , 133 , 179 , 288 , 290 , 370 , 187 , 243 , 256 , 272 , 193 , 209 ,279,287,240,199,294,343,382,578,433,511,434,451,523,539,607,490,225
Malaysia, 786 , 816 , 813 , 448 , 384 , 374 , 425 , 817 ," 2,072 "," 2,346 "," 1,917 "," 1,338 "," 1,486 "," 1,000 ", 727 , 490 , 382 , 319 , 214 , 299 ,360,460,482,419,401,592,580,600,658,642,800,409,356,204,336,332,224
